1,MISSILE,1350.0,108.0,-10.0,0.0,0.0,0.0,0.0,0.0,1
1,MISSILE,1350.0,216.0,-10.0,0.0,0.0,0.0,0.0,0.0,1

2,MISSILE,1350.0,612.0,-10.0,0.0,0.0,0.0,0.0,0.0,2
2,MISSILE,1350.0,108.0,-10.0,0.0,0.0,0.0,0.0,0.0,2
2,ZAPPER,1350.0,360.0,-10.0,0.0,0.0,0.0,0.0,0.0,3

3,LASER,640.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3,MISSILE,1350.0,324.0,-10.0,0.0,0.0,0.0,0.0,0.0,1
3,MISSILE,1350.0,468.0,-10.0,0.0,0.0,0.0,0.0,0.0,1

4,ZAPPER,1350.0,144.0,-10.0,0.0,0.0,0.0,90.0,0.0,1
4,ZAPPER,1350.0,576.0,-10.0,0.0,0.0,0.0,90.0,0.0,1
4,MISSILE,1350.0,360.0,-10.0,0.0,0.0,0.0,0.0,0.0,3

5,MISSILE,1350.0,540.0,-10.0,+10.0,0.0,0.0,-45.0,0.0,1
5,MISSILE,1350.0,108.0,-10.0,0.0,0.0,0.0,0.0,0.0,3
5,MISSILE,1350.0,180.0,-10.0,0.0,0.0,0.0,0.0,0.0,5

6,MISSILE,1350.0,288.0,-10.0,0.0,0.0,0.0,0.0,0.0,1
6,MISSILE,1350.0,216.0,-10.0,10.0,0.0,0.0,-45.0,0.0,1
6,LASER,640.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,3
6,LASER,640.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,3

7,MISSILE,1350.0,108.0,-10.0,0.0,0.0,0.0,0.0,0.0,1
7,MISSILE,1350.0,612.0,-10.0,0.0,0.0,0.0,0.0,0.0,3
7,MISSILE,1350.0,72.0,-10.0,0.0,0.0,0.0,0.0,0.0,5
7,MISSILE,1350.0,144.0,-10.0,0.0,0.0,0.0,0.0,0.0,6
7,MISSILE,1350.0,216.0,-10.0,0.0,0.0,0.0,0.0,0.0,7
7,MISSILE,1350.0,288.0,-10.0,0.0,0.0,0.0,0.0,0.0,8
7,MISSILE,1350.0,360.0,-10.0,0.0,0.0,0.0,0.0,0.0,9

8,MISSILE,1350.0,72.0,-10.0,10.0,0.0,0.0,-45.0,0.0,1
8,MISSILE,1350.0,144.0,-10.0,10.0,0.0,0.0,-45.0,0.0,1
8,MISSILE,1350.0,576.0,-10.0,-10.0,0.0,0.0,45.0,0.0,1
8,MISSILE,1350.0,648.0,-10.0,-10.0,0.0,0.0,45.0,0.0,1

9,ZAPPER,1350.0,144.0,-10.0,0.0,0.0,0.0,90.0,0.0,1
9,ZAPPER,1350.0,576.0,-10.0,0.0,0.0,0.0,90.0,0.0,1
9,ZAPPER,1350.0,72.0,-10.0,0.0,0.0,0.0,0.0,0.0,2
9,ZAPPER,1350.0,648.0,-10.0,0.0,0.0,0.0,0.0,0.0,2
9,ZAPPER,1350.0,72.0,-10.0,0.0,0.0,0.0,0.0,0.0,6
9,ZAPPER,1350.0,648.0,-10.0,0.0,0.0,0.0,0.0,0.0,6
9,ZAPPER,1350.0,144.0,-10.0,0.0,0.0,0.0,90.0,0.0,7
9,ZAPPER,1350.0,576.0,-10.0,0.0,0.0,0.0,90.0,0.0,7

